Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial
0,0,0,2.08322390303,0,0,.,1
2,3,3,1.25,1,2,131,2
0,0,0,2.78074840953,0,0,.,3
1,1,1,1.25,0,1,100,4
0,0,0,2.51674480786,0,0,.,5
2,3,1,1.25,2,2,212,6
0,0,0,2.83283171522,0,0,.,7
1,1,2,1.25,0,2,020,8
0,0,0,2.78214235317,0,0,.,9
1,2,3,1.25,0,3,003,10
0,0,0,2.70749600343,0,0,.,11
2,3,3,1.25,2,1,322,12
0,0,0,2.81184178244,0,0,.,13
1,1,2,1.25,0,2,020,14
0,0,0,2.11523982794,0,0,.,15
1,2,3,1.25,0,3,003,16
0,0,0,2.72609104293,0,0,.,17
2,3,2,1.25,3,1,233,18
0,0,0,2.80654639742,0,0,.,19
2,0,3,1.25,1,1,311,20
0,0,0,2.66533982266,0,0,.,21
1,1,1,1.25,0,1,100,22
0,0,0,2.88350231078,0,0,.,23
1,2,2,1.25,0,2,020,24
0,0,0,2.80574507506,0,0,.,25
2,3,2,1.25,1,1,211,26
0,0,0,2.64993238508,0,0,.,27
2,0,1,1.25,2,2,221,28
0,0,0,2.83160645992,0,0,.,29
1,1,3,1.25,0,3,003,30
0,0,0,2.38472654847,0,0,.,31
2,3,3,1.25,2,1,322,32
0,0,0,2.80804841066,0,0,.,33
1,1,1,1.25,0,1,100,34
0,0,0,2.74541608727,0,0,.,35
2,3,2,1.25,1,1,211,36
0,0,0,2.47071282727,0,0,.,37
2,0,2,1.25,3,3,332,38
0,0,0,2.39816482875,0,0,.,39
1,1,3,1.25,0,3,003,40
0,0,0,2.49947592191,0,0,.,41
1,2,3,1.25,0,3,003,42
0,0,0,2.15951477092,0,0,.,43
2,3,1,1.25,3,2,313,44
0,0,0,2.24947938426,0,0,.,45
1,1,1,1.25,0,1,100,46
0,0,0,2.36295645108,0,0,.,47
1,2,3,1.25,0,3,003,48
0,0,0,2.23389224269,0,0,.,49
2,3,1,1.25,2,2,212,50
0,0,0,2.71449628593,0,0,.,51
1,1,2,1.25,0,2,020,52
0,0,0,2.05588303484,0,0,.,53
2,3,3,1.25,2,2,232,54
0,0,0,2.36099577074,0,0,.,55
1,1,1,1.25,0,1,100,56
0,0,0,2.93326594047,0,0,.,57
2,3,2,1.25,1,3,112,58
0,0,0,2.36930233767,0,0,.,59
2,0,3,1.25,1,1,311,60
0,0,0,2.97922799024,0,0,.,61
1,1,2,1.25,0,2,020,62
0,0,0,2.35299264253,0,0,.,63
2,3,1,1.25,2,2,221,64
0,0,0,2.79378972395,0,0,.,65
1,1,2,1.25,0,2,020,66
0,0,0,2.23543041543,0,0,.,67
1,2,3,1.25,0,3,003,68
0,0,0,2.67984016457,0,0,.,69
2,3,3,1.25,2,2,232,70
0,0,0,2.28600189839,0,0,.,71
1,1,1,1.25,0,1,100,72
0,0,0,2.61370782482,0,0,.,73
2,3,3,1.25,1,2,131,74
0,0,0,2.82235371604,0,0,.,75
2,0,2,1.25,3,3,332,76
0,0,0,2.25259768911,0,0,.,77
1,1,2,1.25,0,2,020,78
0,0,0,2.35353445765,0,0,.,79
2,3,1,1.25,3,3,331,80
0,0,0,2.57496925518,0,0,.,81
2,0,2,1.25,1,3,112,82
0,0,0,2.14100041691,0,0,.,83
1,1,1,1.25,0,1,100,84
0,0,0,2.97612027612,0,0,.,85
2,3,1,1.25,3,3,331,86
0,0,0,2.45615954046,0,0,.,87
2,0,2,1.25,3,1,233,88
0,0,0,2.12610117482,0,0,.,89
1,1,2,1.25,0,2,020,90
0,0,0,2.47905582139,0,0,.,91
1,2,1,1.25,0,1,100,92
0,0,0,2.50806985981,0,0,.,93
2,3,1,1.25,3,2,313,94
0,0,0,2.10915357159,0,0,.,95
1,1,3,1.25,0,3,003,96
0,0,0,2.36768119844,0,0,.,97
2,0,3,1.25,2,2,232,98
0,0,0,2.953373036,0,0,.,99
1,1,2,1.25,0,2,020,100
0,0,0,2.14611511809,0,0,.,101
2,3,3,1.25,2,1,322,102
0,0,0,2.88769054157,0,0,.,103
1,1,3,1.25,0,3,003,104
0,0,0,2.54625738157,0,0,.,105
2,3,2,1.25,3,1,233,106
0,0,0,2.38242088975,0,0,.,107
1,1,1,1.25,0,1,100,108
0,0,0,2.62393848698,0,0,.,109
2,3,3,1.25,2,1,322,110
0,0,0,2.89259410248,0,0,.,111
1,1,1,1.25,0,1,100,112
0,0,0,2.20466917141,0,0,.,113
2,3,2,1.25,1,1,211,114
0,0,0,2.71997274468,0,0,.,115
1,1,3,1.25,0,3,003,116
0,0,0,2.74584924178,0,0,.,117
2,3,3,1.25,1,2,131,118
0,0,0,2.9693028243,0,0,.,119
1,1,2,1.25,0,2,020,120
0,0,0,2.14746606784,0,0,.,121
2,3,3,1.25,1,1,311,122
0,0,0,2.90137248551,0,0,.,123
1,1,3,1.25,0,3,003,124
0,0,0,2.51695506639,0,0,.,125
2,3,1,1.25,3,3,331,126
0,0,0,2.80715743818,0,0,.,127
2,0,1,1.25,2,2,221,128
0,0,0,2.89102681757,0,0,.,129
1,1,2,1.25,0,2,020,130
0,0,0,2.14355320703,0,0,.,131
1,2,3,1.25,0,3,003,132
0,0,0,2.25501783536,0,0,.,133
2,3,3,1.25,2,2,232,134
0,0,0,2.72298107786,0,0,.,135
1,1,2,1.25,0,2,020,136
0,0,0,2.43890481956,0,0,.,137
1,2,2,1.25,0,2,020,138
0,0,0,2.23056420673,0,0,.,139
2,3,1,1.25,2,2,221,140
0,0,0,2.39268663073,0,0,.,141
2,0,3,1.25,1,2,131,142
0,0,0,2.38035216241,0,0,.,143
1,1,3,1.25,0,3,003,144
0,0,0,2.71123380724,0,0,.,145
1,2,1,1.25,0,1,100,146
0,0,0,2.62406587414,0,0,.,147
2,3,1,1.25,3,2,313,148
0,0,0,2.27834479999,0,0,.,149
2,0,2,1.25,3,3,332,150
