Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial
0,0,0,2.16786085053,0,0,.,721
2,3,3,1.25,2,2,232,722
0,0,0,2.82857635606,0,0,.,723
1,1,3,1.25,0,3,003,724
0,0,0,2.62077422055,0,0,.,725
2,3,2,1.25,3,1,233,726
0,0,0,2.74268758492,0,0,.,727
1,1,3,1.25,0,3,003,728
0,0,0,2.78269459128,0,0,.,729
2,3,1,1.25,2,2,221,730
0,0,0,2.26751795987,0,0,.,731
2,0,1,1.25,2,2,212,732
0,0,0,2.29272928274,0,0,.,733
1,1,3,1.25,0,3,003,734
0,0,0,2.09191282497,0,0,.,735
2,3,2,1.25,3,3,332,736
0,0,0,2.67802733534,0,0,.,737
1,1,3,1.25,0,3,003,738
0,0,0,2.15371265499,0,0,.,739
1,2,1,1.25,0,1,100,740
0,0,0,2.05788234689,0,0,.,741
2,3,3,1.25,2,1,322,742
0,0,0,2.23719086584,0,0,.,743
1,1,3,1.25,0,3,003,744
0,0,0,2.29720719374,0,0,.,745
1,2,1,1.25,0,1,100,746
0,0,0,2.46982031694,0,0,.,747
2,3,1,1.25,3,3,331,748
0,0,0,2.71133154206,0,0,.,749
2,0,3,1.25,1,2,131,750
0,0,0,2.99899409173,0,0,.,751
1,1,2,1.25,0,2,020,752
0,0,0,2.19096255093,0,0,.,753
2,3,1,1.25,2,2,212,754
0,0,0,2.3174463047,0,0,.,755
1,1,2,1.25,0,2,020,756
0,0,0,2.68597618653,0,0,.,757
2,3,2,1.25,3,1,233,758
0,0,0,2.47406756053,0,0,.,759
2,0,3,1.25,2,2,232,760
0,0,0,2.38862846117,0,0,.,761
1,1,3,1.25,0,3,003,762
0,0,0,2.14889647455,0,0,.,763
1,2,1,1.25,0,1,100,764
0,0,0,2.34990225459,0,0,.,765
2,3,1,1.25,2,2,221,766
0,0,0,2.69754891491,0,0,.,767
1,1,2,1.25,0,2,020,768
